Date,Sales
2019-01-01,222.45
2019-02-01,227.1
2019-03-01,246.1
2019-04-01,258.4
2019-05-01,224.25
2019-06-01,212.45
2019-07-01,227.84
2019-08-01,207.87
2019-09-01,188.49
2019-10-01,210.88
2019-11-01,209.96
2019-12-01,228.12
2020-01-01,256.93
2020-02-01,238.77
2020-03-01,248.81
2020-04-01,265.42
2020-05-01,250.87
2020-06-01,258.97
2020-07-01,228.83
2020-08-01,213.47
2020-09-01,255.81
2020-10-01,237.65
2020-11-01,256.23
2020-12-01,252.03
2021-01-01,283.43
2021-02-01,307.43
2021-03-01,295.71
2021-04-01,317.79
2021-05-01,295.35
2021-06-01,288.18
2021-07-01,271.72
2021-08-01,300.74
2021-09-01,271.93
2021-10-01,263.47
2021-11-01,305.85
2021-12-01,293.39
2022-01-01,333.03
2022-02-01,314.67
2022-03-01,331.35
2022-04-01,353.4
2022-05-01,353.74
2022-06-01,333.42
2022-07-01,317.31
2022-08-01,306.74
2022-09-01,288.25
2022-10-01,306.84
2022-11-01,324.9
2022-12-01,365.86
